customer_id,first_name,last_name,email,phone
1,Mahmoud,Mansour,mahmoud.mansour@email.com,212-555-0101
2,Fatimah,Al-Sayed,fatimah.np@email.com,212-555-0102
3,John,Smith,jsmith@gmail.com,917-555-1234
4,Sarah,Johnson,sarah.j@outlook.com,646-555-5678
5,Michael,Brown,mbrown@nycmail.com,347-555-9012
6,Emily,Davis,emilyd@lehman.edu,212-555-3456
7,David,Wilson,dwilson@tourist.com,516-555-7890
8,Jessica,Taylor,jtaylor@service.com,718-555-2345
9,Christopher,Anderson,chris.a@mail.com,914-555-6789
10,Ashley,Thomas,athomas@provider.net,201-555-0112
